"Genotype";"Angle_Yr";"AUDPC_days_Yr";"AUDPC_GDD_Yr";"GDD50_Yr";"maxVar_Yr"
"G90";-0.137801245056435;-73.5300497188603;1356.9361343098;1651.51268423504;-20.8536826131229
"G1";1.59311236821886;592.045485451501;18592.9213111029;1609.06371472;51.0711714969878
"G2";0.101445701552195;88.712152118168;5886.64047799435;1644.40204805334;-8.92882850301214
"G3";0.729779034885528;349.545485451501;11869.3665626242;1630.51371472;31.0711714969879
"G4";1.4714457015522;462.045485451501;17991.0091607297;1657.57371472;26.0711714969878
"G5";0.810765163725968;321.531936896584;13901.509710912;1674.17135227128;14.1463173868771
"G6";-0.134277672242854;-116.738460465245;4428.68166316321;1750.88178983389;-3.92882850301213
"G7";0.726445701552195;303.295485451501;8396.37977042166;1617.03538138667;36.0711714969879
"G8";0.463376486002672;168.273801577678;5637.37906514766;1663.04635188208;16.0711714969879
"G9";0.211836334050039;125.307979591715;2884.14856411178;1693.77562732523;NA
"G10";0.531445701552196;207.462152118168;6736.15352470117;1648.70704805333;16.0711714969878
"G11";0.884779034885529;329.378818784835;11791.629169948;1672.87371472;26.0711714969879
"G12";0.522415588896442;266.172612373117;6271.27899804369;1651.20684712317;37.9960256070987
"G13";1.09477903488553;413.712152118168;16530.3135209761;1673.05871472;26.0711714969879
"G14";0.986596264830959;166.909850843423;6238.39516909401;1667.87805270418;24.1463173868771
"G15";0.798945701552195;307.462152118168;9831.78831351359;1663.52288138667;28.5711714969878
"G16";0.0924155888964427;62.4726123731166;3207.37866461444;1686.48484712317;-17.0039743929014
"G17";0.326756310977012;78.1752700089506;2926.02758474604;1764.67976911821;14.1463173868771
"G18";0.198208220699923;86.5960951793762;2492.35689383119;1642.6994710913;NA
"G19";1.01144570155219;444.128818784834;15391.5114647434;1677.64204805333;31.0711714969879
"G20";0.0747790348855286;25.962152118168;2382.77232924722;1696.48538138667;-6.42882850301213
"G21";0.279779034885529;121.212152118168;7510.65804887927;1731.48538138667;1.07117149698785
"G22";-0.21759775723456;-116.4970269886;1222.1010314626;1655.28876189774;-15.853682613123
"G23";0.428015178057712;177.732428711868;6494.75389917911;1736.51495906606;9.14631738687704
"G24";1.94477903488553;797.045485451502;29609.3550131591;1628.43204805334;51.0711714969879
"G25";0.854779034885529;387.878818784834;16066.6659939803;1692.68871472;21.0711714969878
"G26";0.769779034885529;294.128818784835;11170.6313429327;1695.32871472;28.5711714969879
"G27";0.438112368218861;177.295485451501;6229.16605542205;1746.94871472;16.0711714969879
"G28";0.501445701552195;148.462152118168;3891.7157115134;1725.30538138667;21.0711714969879
"G29";0.146445701552195;63.9621521181682;4941.78152202558;1752.41204805334;-3.92882850301213
"G30";0.391078811604701;142.142327963377;6864.95257419539;1585.42803619247;11.0711714969878
"G31";0.466528305691626;89.8546617027323;3761.28510651922;1673.29249902745;17.9960256070987
"G32";0.599779034885528;225.795485451501;10901.3235029739;1776.53204805334;11.0711714969879
"G33";0.606445701552196;260.795485451501;10866.6719120261;1730.28204805333;18.5711714969879
"G34";0.502415588896442;231.772612373117;6777.67199224292;1745.87284712317;27.9960256070987
"G35";0.641445701552196;272.962152118168;9646.62439424868;1735.46704805334;26.0711714969879
"G36";0.464765163725968;221.031936896584;7328.42682575082;1757.94935227128;19.146317386877
